"estado";"cidade";"bairro";"cep";"logradouro";"latitude";"longitude";"altitude";"ddd";"cod_IBGE"
"RJ";"Niterói";"Itaipu";"24346072";"Rua Samuel Wainer Filho";-22,9561305;-43,0291246;5,9;21;"3303302"
"RJ";"Niterói";"Itaipu";"24346170";"Rua Samuel Wainer Filho";-22,9594475;-43,0306971;6,4;21;"3303302"
"RJ";"Niterói";"Itaipu";"24346190";"Rua São Sebastião";-22,9561305;-43,0291246;5,9;21;"3303302"
"RJ";"Niterói";"Itaipu";"24346200";"Rua Scylla Souza Ribeiro";-22,9569044;-43,026952;15,8;21;"3303302"
"RJ";"Niterói";"Jacaré";"24350200";"Estrada Frei Orlando";-22,9269529;-43,0405496;38,7;21;"3303302"
"RJ";"Niterói";"Piratininga";"24350211";"Rua Pietro Farsoun";-22,953943;-43,0734134;13,8;21;"3303302"
"RJ";"Niterói";"Piratininga";"24350232";"Rua Doutor Ernani Luiz da Cunha";-22,9532443;-43,0786574;11,2;21;"3303302"
"RJ";"Niterói";"Piratininga";"24350252";"Rua Jornalista Prudêncio Luiz Ferreira Travassos";-22,9533882;-43,0781217;12,2;21;"3303302"
"RJ";"Niterói";"Piratininga";"24350360";"Rua Roma";-22,9354234;-43,0677675;12,3;21;"3303302"
"RJ";"Niterói";"Piratininga";"24350380";"Avenida Almirante Tamandaré";-22,95536;-43,0765068;6,9;21;"3303302"
"RJ";"Niterói";"Itaipu";"24355110";"Rua Rouxinol";-22,9394868;-43,045757;15,3;21;"3303302"
"RJ";"Niterói";"Itaipu";"24355120";"Rua dos Pavões";-22,9390326;-43,0447908;15,6;21;"3303302"
"RJ";"Niterói";"Itaipu";"24358050";"Rua Doutor Jayme Bittencourt";-22,962089;-43,0522497;15,4;21;"3303302"
"RJ";"Niterói";"Piratininga";"24358150";"Rua Doutor João Batista Lacerda Botelho";-22,9521798;-43,095937;8,7;21;"3303302"
"RJ";"Niterói";"Piratininga";"24358160";"Rua Doutor João Valentim Tavares";-22,9530689;-43,084599;12;21;"3303302"
"RJ";"Niterói";"Piratininga";"24358310";"Praia Piratininga";-22,9530292;-43,0981076;5,8;21;"3303302"
"RJ";"Niterói";"Piratininga";"24358340";"Rua General Rubens Rosado Teixeira";-22,9528434;-43,0952951;9,8;21;"3303302"
"RJ";"Niterói";"Piratininga";"24358390";"Rua Comendador Manuel de Azevedo Falcão";-22,9519879;-43,0866414;11;21;"3303302"
"RJ";"Niterói";"Piratininga";"24358405";"Rua Marechal Raul de Albuquerque";-22,9561615;-43,0677868;47,1;21;"3303302"
"RJ";"Niterói";"Marazul";"24358430";"Rua Celso Dias Gomes";-22,9514292;-43,0915917;8,9;21;"3303302"
"RJ";"Niterói";"Marazul";"24358550";"Rua Doutor Antônio Vaz Cavalcante";-22,9538481;-43,0804692;10;21;"3303302"
"RJ";"Niterói";"Camboinhas";"24358580";"Avenida Professor Florestan Fernandes";-22,9565801;-43,0525653;9;21;"3303302"
"RJ";"Niterói";"São Francisco";"24360022";"Avenida Quintino Bocaiúva";-22,9172755;-43,0902716;9,4;21;"3303302"
"RJ";"Niterói";"Charitas";"24360030";"Avenida Prefeito Sylvio Picanço";-22,9335099;-43,0994558;8,2;21;"3303302"
"RJ";"Niterói";"São Francisco";"24360410";"Rua Murilo Portugal";-22,9233291;-43,0929817;9;21;"3303302"
"RJ";"Niterói";"São Francisco";"24360440";"Avenida Rui Barbosa";-22,9172755;-43,0902716;9,4;21;"3303302"
"RJ";"Niterói";"São Francisco";"24360500";"Rua Doutor Oliveira Botelho";-22,918275;-43,085634;14,7;21;"3303302"
"RJ";"Niterói";"Charitas";"24370020";"Rua Juiz Alberto Nader";-22,9259136;-43,0938821;14,5;21;"3303302"
"RJ";"Niterói";"Charitas";"24370040";"Rua Leonel Magalhães";-22,9271851;-43,0945852;10,9;21;"3303302"
"RJ";"Niterói";"Charitas";"24370090";"Rua Eurico Manoel do Carmo";-22,9269798;-43,0945083;11,5;21;"3303302"
"RJ";"Niterói";"Charitas";"24370100";"Rua Doutor Joaquim Peixoto";-22,9275786;-43,0938934;16,2;21;"3303302"
"RJ";"Niterói";"Charitas";"24370110";"Rua Doutor Armando Lopes";-22,928691;-43,0945991;19,9;21;"3303302"
"RJ";"São Gonçalo";"Maria Paula";"24756660";"Avenida da Abdias José dos Santos";-22,8797238;-43,0212039;41,4;21;"3304904"
